"Harmonic Energy (eV)"	"Harmonic: 1: spatial_profile-7.json"	"Harmonic Energy (eV)"	"Harmonic: 3: spatial_profile-7.json"	"Harmonic Energy (eV)"	"Harmonic: 5: spatial_profile-7.json"	"Harmonic Energy (eV)"	"Harmonic: 7: spatial_profile-7.json"	"Harmonic Energy (eV)"	"Harmonic: 9: spatial_profile-7.json"	"Harmonic Energy (eV)"	"Harmonic: 11: spatial_profile-7.json"
1.27211e+4	1.55624e-6	3.81633e+4	8.98493e-7	6.36056e+4	6.95970e-7	8.90478e+4	5.88202e-7	1.14490e+5	5.18745e-7	1.39932e+5	4.69223e-7
1.25056e+4	1.56959e-6	3.75168e+4	9.06201e-7	6.25281e+4	7.01941e-7	8.75393e+4	5.93248e-7	1.12551e+5	5.23196e-7	1.37562e+5	4.73248e-7
1.22921e+4	1.58316e-6	3.68763e+4	9.14038e-7	6.14604e+4	7.08011e-7	8.60446e+4	5.98379e-7	1.10629e+5	5.27720e-7	1.35213e+5	4.77341e-7
1.20807e+4	1.59695e-6	3.62421e+4	9.22001e-7	6.04035e+4	7.14179e-7	8.45649e+4	6.03591e-7	1.08726e+5	5.32317e-7	1.32888e+5	4.81499e-7
1.18716e+4	1.61095e-6	3.56148e+4	9.30085e-7	5.93580e+4	7.20441e-7	8.31012e+4	6.08883e-7	1.06844e+5	5.36985e-7	1.30588e+5	4.85721e-7
1.16649e+4	1.62516e-6	3.49948e+4	9.38288e-7	5.83247e+4	7.26795e-7	8.16545e+4	6.14254e-7	1.04984e+5	5.41721e-7	1.28314e+5	4.90005e-7
1.14608e+4	1.63957e-6	3.43824e+4	9.46607e-7	5.73040e+4	7.33239e-7	8.02256e+4	6.19700e-7	1.03147e+5	5.46524e-7	1.26069e+5	4.94349e-7
1.12593e+4	1.65418e-6	3.37780e+4	9.55039e-7	5.62967e+4	7.39770e-7	7.88153e+4	6.25220e-7	1.01334e+5	5.51392e-7	1.23853e+5	4.98753e-7
1.10606e+4	1.66897e-6	3.31818e+4	9.63580e-7	5.53030e+4	7.46386e-7	7.74242e+4	6.30811e-7	9.95454e+4	5.56323e-7	1.21667e+5	5.03213e-7
1.08647e+4	1.68395e-6	3.25941e+4	9.72229e-7	5.43235e+4	7.53085e-7	7.60529e+4	6.36473e-7	9.77823e+4	5.61316e-7	1.19512e+5	5.07730e-7
1.06717e+4	1.69911e-6	3.20151e+4	9.80981e-7	5.33584e+4	7.59865e-7	7.47018e+4	6.42203e-7	9.60452e+4	5.66370e-7	1.17389e+5	5.12301e-7
1.04816e+4	1.71444e-6	3.14449e+4	9.89835e-7	5.24082e+4	7.66723e-7	7.33714e+4	6.47999e-7	9.43347e+4	5.71482e-7	1.15298e+5	5.16925e-7
1.02946e+4	1.72995e-6	3.08837e+4	9.98788e-7	5.14729e+4	7.73658e-7	7.20620e+4	6.53860e-7	9.26511e+4	5.76650e-7	1.13240e+5	5.21600e-7
1.01105e+4	1.74562e-6	3.03316e+4	1.00784e-6	5.05527e+4	7.80667e-7	7.07738e+4	6.59784e-7	9.09949e+4	5.81874e-7	1.11216e+5	5.26325e-7
9.92959e+3	1.76146e-6	2.97888e+4	1.01698e-6	4.96479e+4	7.87748e-7	6.95071e+4	6.65768e-7	8.93663e+4	5.87153e-7	1.09225e+5	5.31100e-7
9.75172e+3	1.77745e-6	2.92552e+4	1.02621e-6	4.87586e+4	7.94900e-7	6.82620e+4	6.71813e-7	8.77655e+4	5.92483e-7	1.07269e+5	5.35921e-7
9.57695e+3	1.79359e-6	2.87308e+4	1.03553e-6	4.78847e+4	8.02120e-7	6.70386e+4	6.77915e-7	8.61925e+4	5.97865e-7	1.05346e+5	5.40789e-7
9.40528e+3	1.80989e-6	2.82158e+4	1.04494e-6	4.70264e+4	8.09407e-7	6.58370e+4	6.84074e-7	8.46475e+4	6.03296e-7	1.03458e+5	5.45702e-7
9.23672e+3	1.82633e-6	2.77102e+4	1.05443e-6	4.61836e+4	8.16759e-7	6.46570e+4	6.90287e-7	8.31305e+4	6.08776e-7	1.01604e+5	5.50659e-7
9.07126e+3	1.84291e-6	2.72138e+4	1.06400e-6	4.53563e+4	8.24174e-7	6.34988e+4	6.96554e-7	8.16413e+4	6.14303e-7	9.97838e+4	5.55658e-7
