"Harmonic Energy (eV)"	"Harmonic: 1: spatial_profile-9.json"	"Harmonic Energy (eV)"	"Harmonic: 3: spatial_profile-9.json"	"Harmonic Energy (eV)"	"Harmonic: 5: spatial_profile-9.json"	"Harmonic Energy (eV)"	"Harmonic: 7: spatial_profile-9.json"	"Harmonic Energy (eV)"	"Harmonic: 9: spatial_profile-9.json"	"Harmonic Energy (eV)"	"Harmonic: 11: spatial_profile-9.json"
1.27211e+4	3.95568e-6	3.81633e+4	3.74604e-6	6.36056e+4	3.70269e-6	8.90478e+4	3.68395e-6	1.14490e+5	3.67350e-6	1.39932e+5	3.66684e-6
1.25056e+4	3.96095e-6	3.75168e+4	3.74790e-6	6.25281e+4	3.70382e-6	8.75393e+4	3.68476e-6	1.12551e+5	3.67414e-6	1.37562e+5	3.66736e-6
1.22921e+4	3.96635e-6	3.68763e+4	3.74980e-6	6.14604e+4	3.70497e-6	8.60446e+4	3.68559e-6	1.10629e+5	3.67478e-6	1.35213e+5	3.66789e-6
1.20807e+4	3.97188e-6	3.62421e+4	3.75175e-6	6.04035e+4	3.70616e-6	8.45649e+4	3.68644e-6	1.08726e+5	3.67545e-6	1.32888e+5	3.66843e-6
1.18716e+4	3.97753e-6	3.56148e+4	3.75374e-6	5.93580e+4	3.70737e-6	8.31012e+4	3.68731e-6	1.06844e+5	3.67612e-6	1.30588e+5	3.66899e-6
1.16649e+4	3.98330e-6	3.49948e+4	3.75579e-6	5.83247e+4	3.70861e-6	8.16545e+4	3.68820e-6	1.04984e+5	3.67682e-6	1.28314e+5	3.66956e-6
1.14608e+4	3.98920e-6	3.43824e+4	3.75787e-6	5.73040e+4	3.70988e-6	8.02256e+4	3.68911e-6	1.03147e+5	3.67753e-6	1.26069e+5	3.67014e-6
1.12593e+4	3.99523e-6	3.37780e+4	3.76001e-6	5.62967e+4	3.71117e-6	7.88153e+4	3.69005e-6	1.01334e+5	3.67826e-6	1.23853e+5	3.67073e-6
1.10606e+4	4.00137e-6	3.31818e+4	3.76218e-6	5.53030e+4	3.71250e-6	7.74242e+4	3.69100e-6	9.95454e+4	3.67900e-6	1.21667e+5	3.67134e-6
1.08647e+4	4.00765e-6	3.25941e+4	3.76441e-6	5.43235e+4	3.71385e-6	7.60529e+4	3.69197e-6	9.77823e+4	3.67976e-6	1.19512e+5	3.67197e-6
1.06717e+4	4.01404e-6	3.20151e+4	3.76668e-6	5.33584e+4	3.71523e-6	7.47018e+4	3.69296e-6	9.60452e+4	3.68053e-6	1.17389e+5	3.67260e-6
1.04816e+4	4.02055e-6	3.14449e+4	3.76899e-6	5.24082e+4	3.71664e-6	7.33714e+4	3.69397e-6	9.43347e+4	3.68132e-6	1.15298e+5	3.67325e-6
1.02946e+4	4.02719e-6	3.08837e+4	3.77135e-6	5.14729e+4	3.71808e-6	7.20620e+4	3.69501e-6	9.26511e+4	3.68213e-6	1.13240e+5	3.67391e-6
1.01105e+4	4.03395e-6	3.03316e+4	3.77376e-6	5.05527e+4	3.71954e-6	7.07738e+4	3.69606e-6	9.09949e+4	3.68295e-6	1.11216e+5	3.67458e-6
9.92959e+3	4.04083e-6	2.97888e+4	3.77621e-6	4.96479e+4	3.72103e-6	6.95071e+4	3.69713e-6	8.93663e+4	3.68379e-6	1.09225e+5	3.67527e-6
9.75172e+3	4.04782e-6	2.92552e+4	3.77871e-6	4.87586e+4	3.72255e-6	6.82620e+4	3.69823e-6	8.77655e+4	3.68464e-6	1.07269e+5	3.67597e-6
9.57695e+3	4.05494e-6	2.87308e+4	3.78125e-6	4.78847e+4	3.72410e-6	6.70386e+4	3.69934e-6	8.61925e+4	3.68551e-6	1.05346e+5	3.67668e-6
9.40528e+3	4.06217e-6	2.82158e+4	3.78384e-6	4.70264e+4	3.72568e-6	6.58370e+4	3.70047e-6	8.46475e+4	3.68639e-6	1.03458e+5	3.67741e-6
9.23672e+3	4.06952e-6	2.77102e+4	3.78647e-6	4.61836e+4	3.72728e-6	6.46570e+4	3.70163e-6	8.31305e+4	3.68730e-6	1.01604e+5	3.67815e-6
9.07126e+3	4.07699e-6	2.72138e+4	3.78915e-6	4.53563e+4	3.72891e-6	6.34988e+4	3.70280e-6	8.16413e+4	3.68821e-6	9.97838e+4	3.67890e-6
