"Harmonic Energy (eV)"	"Harmonic: 1: spatial_profile-8.json"	"Harmonic Energy (eV)"	"Harmonic: 3: spatial_profile-8.json"	"Harmonic Energy (eV)"	"Harmonic: 5: spatial_profile-8.json"	"Harmonic Energy (eV)"	"Harmonic: 7: spatial_profile-8.json"	"Harmonic Energy (eV)"	"Harmonic: 9: spatial_profile-8.json"	"Harmonic Energy (eV)"	"Harmonic: 11: spatial_profile-8.json"
1.27211e+4	6.62442e-6	3.81633e+4	5.22728e-6	6.36056e+4	4.90028e-6	8.90478e+4	4.75326e-6	1.14490e+5	4.66958e-6	1.39932e+5	4.61554e-6
1.25056e+4	6.65665e-6	3.75168e+4	5.24091e-6	6.25281e+4	4.90901e-6	8.75393e+4	4.75969e-6	1.12551e+5	4.67467e-6	1.37562e+5	4.61975e-6
1.22921e+4	6.68953e-6	3.68763e+4	5.25485e-6	6.14604e+4	4.91794e-6	8.60446e+4	4.76627e-6	1.10629e+5	4.67988e-6	1.35213e+5	4.62407e-6
1.20807e+4	6.72307e-6	3.62421e+4	5.26909e-6	6.04035e+4	4.92708e-6	8.45649e+4	4.77300e-6	1.08726e+5	4.68522e-6	1.32888e+5	4.62849e-6
1.18716e+4	6.75724e-6	3.56148e+4	5.28365e-6	5.93580e+4	4.93642e-6	8.31012e+4	4.77989e-6	1.06844e+5	4.69068e-6	1.30588e+5	4.63301e-6
1.16649e+4	6.79204e-6	3.49948e+4	5.29850e-6	5.83247e+4	4.94596e-6	8.16545e+4	4.78693e-6	1.04984e+5	4.69626e-6	1.28314e+5	4.63763e-6
1.14608e+4	6.82747e-6	3.43824e+4	5.31365e-6	5.73040e+4	4.95571e-6	8.02256e+4	4.79413e-6	1.03147e+5	4.70196e-6	1.26069e+5	4.64236e-6
1.12593e+4	6.86350e-6	3.37780e+4	5.32910e-6	5.62967e+4	4.96565e-6	7.88153e+4	4.80147e-6	1.01334e+5	4.70779e-6	1.23853e+5	4.64719e-6
1.10606e+4	6.90013e-6	3.31818e+4	5.34485e-6	5.53030e+4	4.97579e-6	7.74242e+4	4.80897e-6	9.95454e+4	4.71373e-6	1.21667e+5	4.65212e-6
1.08647e+4	6.93736e-6	3.25941e+4	5.36089e-6	5.43235e+4	4.98614e-6	7.60529e+4	4.81661e-6	9.77823e+4	4.71980e-6	1.19512e+5	4.65715e-6
1.06717e+4	6.97516e-6	3.20151e+4	5.37721e-6	5.33584e+4	4.99667e-6	7.47018e+4	4.82440e-6	9.60452e+4	4.72599e-6	1.17389e+5	4.66228e-6
1.04816e+4	7.01354e-6	3.14449e+4	5.39383e-6	5.24082e+4	5.00741e-6	7.33714e+4	4.83235e-6	9.43347e+4	4.73229e-6	1.15298e+5	4.66751e-6
1.02946e+4	7.05248e-6	3.08837e+4	5.41073e-6	5.14729e+4	5.01833e-6	7.20620e+4	4.84044e-6	9.26511e+4	4.73872e-6	1.13240e+5	4.67284e-6
1.01105e+4	7.09198e-6	3.03316e+4	5.42791e-6	5.05527e+4	5.02945e-6	7.07738e+4	4.84867e-6	9.09949e+4	4.74526e-6	1.11216e+5	4.67827e-6
9.92959e+3	7.13202e-6	2.97888e+4	5.44537e-6	4.96479e+4	5.04076e-6	6.95071e+4	4.85706e-6	8.93663e+4	4.75193e-6	1.09225e+5	4.68380e-6
9.75172e+3	7.17259e-6	2.92552e+4	5.46310e-6	4.87586e+4	5.05226e-6	6.82620e+4	4.86558e-6	8.77655e+4	4.75871e-6	1.07269e+5	4.68943e-6
9.57695e+3	7.21369e-6	2.87308e+4	5.48111e-6	4.78847e+4	5.06395e-6	6.70386e+4	4.87426e-6	8.61925e+4	4.76561e-6	1.05346e+5	4.69516e-6
9.40528e+3	7.25531e-6	2.82158e+4	5.49939e-6	4.70264e+4	5.07583e-6	6.58370e+4	4.88307e-6	8.46475e+4	4.77262e-6	1.03458e+5	4.70098e-6
9.23672e+3	7.29744e-6	2.77102e+4	5.51794e-6	4.61836e+4	5.08790e-6	6.46570e+4	4.89203e-6	8.31305e+4	4.77975e-6	1.01604e+5	4.70691e-6
9.07126e+3	7.34006e-6	2.72138e+4	5.53675e-6	4.53563e+4	5.10014e-6	6.34988e+4	4.90113e-6	8.16413e+4	4.78700e-6	9.97838e+4	4.71293e-6
