"Harmonic Energy (eV)"	"Harmonic: 1"	"Harmonic Energy (eV)"	"Harmonic: 3"	"Harmonic Energy (eV)"	"Harmonic: 5"	"Harmonic Energy (eV)"	"Harmonic: 7"	"Harmonic Energy (eV)"	"Harmonic: 9"	"Harmonic Energy (eV)"	"Harmonic: 11"
9.41752e+3	7.25230e-6	2.82526e+4	5.49807e-6	4.70876e+4	5.07497e-6	6.59227e+4	4.88243e-6	8.47577e+4	4.77211e-6	1.03593e+5	4.70056e-6
9.11623e+3	7.32835e-6	2.73487e+4	5.53158e-6	4.55811e+4	5.09677e-6	6.38136e+4	4.89863e-6	8.20461e+4	4.78500e-6	1.00279e+5	4.71127e-6
8.82493e+3	7.40599e-6	2.64748e+4	5.56594e-6	4.41247e+4	5.11917e-6	6.17745e+4	4.91528e-6	7.94244e+4	4.79827e-6	9.70742e+4	4.72230e-6
8.54353e+3	7.48519e-6	2.56306e+4	5.60114e-6	4.27177e+4	5.14216e-6	5.98047e+4	4.93239e-6	7.68918e+4	4.81190e-6	9.39788e+4	4.73363e-6
8.27189e+3	7.56588e-6	2.48157e+4	5.63717e-6	4.13595e+4	5.16572e-6	5.79033e+4	4.94995e-6	7.44470e+4	4.82590e-6	9.09908e+4	4.74528e-6
8.00984e+3	7.64802e-6	2.40295e+4	5.67399e-6	4.00492e+4	5.18986e-6	5.60689e+4	4.96795e-6	7.20886e+4	4.84027e-6	8.81083e+4	4.75724e-6
7.75717e+3	7.73156e-6	2.32715e+4	5.71161e-6	3.87859e+4	5.21455e-6	5.43002e+4	4.98639e-6	6.98146e+4	4.85499e-6	8.53289e+4	4.76950e-6
7.51366e+3	7.81646e-6	2.25410e+4	5.75000e-6	3.75683e+4	5.23981e-6	5.25957e+4	5.00526e-6	6.76230e+4	4.87008e-6	8.26503e+4	4.78206e-6
7.27907e+3	7.90268e-6	2.18372e+4	5.78915e-6	3.63953e+4	5.26561e-6	5.09535e+4	5.02456e-6	6.55116e+4	4.88551e-6	8.00698e+4	4.79493e-6
7.05313e+3	7.99017e-6	2.11594e+4	5.82904e-6	3.52657e+4	5.29195e-6	4.93719e+4	5.04429e-6	6.34782e+4	4.90130e-6	7.75845e+4	4.80809e-6
6.83559e+3	8.07889e-6	2.05068e+4	5.86967e-6	3.41780e+4	5.31882e-6	4.78491e+4	5.06444e-6	6.15203e+4	4.91743e-6	7.51915e+4	4.82155e-6
6.62617e+3	8.16881e-6	1.98785e+4	5.91100e-6	3.31309e+4	5.34622e-6	4.63832e+4	5.08500e-6	5.96356e+4	4.93391e-6	7.28879e+4	4.83530e-6
6.42460e+3	8.25987e-6	1.92738e+4	5.95304e-6	3.21230e+4	5.37413e-6	4.49722e+4	5.10597e-6	5.78214e+4	4.95073e-6	7.06706e+4	4.84935e-6
6.23061e+3	8.35205e-6	1.86918e+4	5.99575e-6	3.11530e+4	5.40255e-6	4.36142e+4	5.12735e-6	5.60754e+4	4.96788e-6	6.85367e+4	4.86368e-6
6.04391e+3	8.44531e-6	1.81317e+4	6.03914e-6	3.02195e+4	5.43147e-6	4.23074e+4	5.14913e-6	5.43952e+4	4.98537e-6	6.64830e+4	4.87830e-6
5.86424e+3	8.53961e-6	1.75927e+4	6.08318e-6	2.93212e+4	5.46088e-6	4.10497e+4	5.17130e-6	5.27782e+4	5.00318e-6	6.45066e+4	4.89320e-6
5.69134e+3	8.63492e-6	1.70740e+4	6.12787e-6	2.84567e+4	5.49077e-6	3.98393e+4	5.19386e-6	5.12220e+4	5.02133e-6	6.26047e+4	4.90838e-6
5.52493e+3	8.73121e-6	1.65748e+4	6.17318e-6	2.76247e+4	5.52114e-6	3.86745e+4	5.21680e-6	4.97244e+4	5.03979e-6	6.07742e+4	4.92384e-6
5.36477e+3	8.82843e-6	1.60943e+4	6.21910e-6	2.68239e+4	5.55197e-6	3.75534e+4	5.24013e-6	4.82830e+4	5.05858e-6	5.90125e+4	4.93957e-6
5.21061e+3	8.92657e-6	1.56318e+4	6.26562e-6	2.60531e+4	5.58327e-6	3.64743e+4	5.26383e-6	4.68955e+4	5.07768e-6	5.73167e+4	4.95558e-6
