"Harmonic Energy (eV)"	"Harmonic: 1"	"Harmonic Energy (eV)"	"Harmonic: 3"	"Harmonic Energy (eV)"	"Harmonic: 5"	"Harmonic Energy (eV)"	"Harmonic: 7"	"Harmonic Energy (eV)"	"Harmonic: 9"	"Harmonic Energy (eV)"	"Harmonic: 11"
1.27211e+4	5.52216e-6	3.81633e+4	4.33192e-6	6.36056e+4	4.15810e-6	8.90478e+4	4.09010e-6	1.14490e+5	4.05442e-6	1.39932e+5	4.03227e-6
1.25056e+4	5.56656e-6	3.75168e+4	4.36534e-6	6.25281e+4	4.18987e-6	8.75393e+4	4.12122e-6	1.12551e+5	4.08519e-6	1.37562e+5	4.06284e-6
1.22921e+4	5.61172e-6	3.68763e+4	4.39934e-6	6.14604e+4	4.22221e-6	8.60446e+4	4.15289e-6	1.10629e+5	4.11652e-6	1.35213e+5	4.09397e-6
1.20807e+4	5.65763e-6	3.62421e+4	4.43391e-6	6.04035e+4	4.25509e-6	8.45649e+4	4.18509e-6	1.08726e+5	4.14839e-6	1.32888e+5	4.12561e-6
1.18716e+4	5.70427e-6	3.56148e+4	4.46904e-6	5.93580e+4	4.28850e-6	8.31012e+4	4.21782e-6	1.06844e+5	4.18077e-6	1.30588e+5	4.15778e-6
1.16649e+4	5.75161e-6	3.49948e+4	4.50471e-6	5.83247e+4	4.32244e-6	8.16545e+4	4.25106e-6	1.04984e+5	4.21364e-6	1.28314e+5	4.19045e-6
1.14608e+4	5.79965e-6	3.43824e+4	4.54092e-6	5.73040e+4	4.35688e-6	8.02256e+4	4.28480e-6	1.03147e+5	4.24702e-6	1.26069e+5	4.22358e-6
1.12593e+4	5.84836e-6	3.37780e+4	4.57764e-6	5.62967e+4	4.39183e-6	7.88153e+4	4.31903e-6	1.01334e+5	4.28088e-6	1.23853e+5	4.25722e-6
1.10606e+4	5.89773e-6	3.31818e+4	4.61488e-6	5.53030e+4	4.42726e-6	7.74242e+4	4.35373e-6	9.95454e+4	4.31522e-6	1.21667e+5	4.29132e-6
1.08647e+4	5.94774e-6	3.25941e+4	4.65261e-6	5.43235e+4	4.46316e-6	7.60529e+4	4.38967e-6	9.77823e+4	4.35001e-6	1.19512e+5	4.32589e-6
1.06717e+4	5.99837e-6	3.20151e+4	4.69082e-6	5.33584e+4	4.49952e-6	7.47018e+4	4.42531e-6	9.60452e+4	4.38526e-6	1.17389e+5	4.36089e-6
1.04816e+4	6.04961e-6	3.14449e+4	4.72951e-6	5.24082e+4	4.53634e-6	7.33714e+4	4.46140e-6	9.43347e+4	4.42094e-6	1.15298e+5	4.39634e-6
1.02946e+4	6.10144e-6	3.08837e+4	4.76865e-6	5.14729e+4	4.57360e-6	7.20620e+4	4.49792e-6	9.26511e+4	4.45720e-6	1.13240e+5	4.43221e-6
1.01105e+4	6.15524e-6	3.03316e+4	4.80825e-6	5.05527e+4	4.61129e-6	7.07738e+4	4.53487e-6	9.09949e+4	4.49358e-6	1.11216e+5	4.46850e-6
9.92959e+3	6.20826e-6	2.97888e+4	4.84828e-6	4.96479e+4	4.64939e-6	6.95071e+4	4.57222e-6	8.93663e+4	4.53052e-6	1.09225e+5	4.50519e-6
9.75172e+3	6.26035e-6	2.92552e+4	4.88874e-6	4.87586e+4	4.68791e-6	6.82620e+4	4.60998e-6	8.77655e+4	4.56785e-6	1.07269e+5	4.54228e-6
9.57695e+3	6.31592e-6	2.87308e+4	4.92961e-6	4.78847e+4	4.72682e-6	6.70386e+4	4.64813e-6	8.61925e+4	4.60558e-6	1.05346e+5	4.57975e-6
9.40528e+3	6.37054e-6	2.82158e+4	4.97089e-6	4.70264e+4	4.76612e-6	6.58370e+4	4.68667e-6	8.46475e+4	4.64442e-6	1.03458e+5	4.61760e-6
9.23672e+3	6.42567e-6	2.77102e+4	5.01256e-6	4.61836e+4	4.80581e-6	6.46570e+4	4.72557e-6	8.31305e+4	4.68292e-6	1.01604e+5	4.65582e-6
9.07126e+3	6.48129e-6	2.72138e+4	5.05463e-6	4.53563e+4	4.84586e-6	6.34988e+4	4.76484e-6	8.16413e+4	4.72177e-6	9.97838e+4	4.69440e-6
