"Harmonic Energy (eV)"	"Harmonic: 1"	"Harmonic Energy (eV)"	"Harmonic: 3"	"Harmonic Energy (eV)"	"Harmonic: 5"	"Harmonic Energy (eV)"	"Harmonic: 7"	"Harmonic Energy (eV)"	"Harmonic: 9"	"Harmonic Energy (eV)"	"Harmonic: 11"
9.41752e+3	7.34021e-6	2.82526e+4	5.81898e-6	4.70876e+4	5.56812e-6	6.59227e+4	5.48154e-6	8.47577e+4	5.43897e-6	1.03593e+5	5.41355e-6
9.11623e+3	7.41686e-6	2.73487e+4	5.86087e-6	4.55811e+4	5.60348e-6	6.38136e+4	5.51458e-6	8.20461e+4	5.47087e-6	1.00279e+5	5.44477e-6
8.82493e+3	7.49635e-6	2.64748e+4	5.90377e-6	4.41247e+4	5.63973e-6	6.17745e+4	5.54846e-6	7.94244e+4	5.50359e-6	9.70742e+4	5.47679e-6
8.54353e+3	7.57882e-6	2.56306e+4	5.94767e-6	4.27177e+4	5.67685e-6	5.98047e+4	5.58317e-6	7.68918e+4	5.53711e-6	9.39788e+4	5.50960e-6
8.27189e+3	7.66146e-6	2.48157e+4	5.99253e-6	4.13595e+4	5.71482e-6	5.79033e+4	5.61869e-6	7.44470e+4	5.57142e-6	9.09908e+4	5.54319e-6
8.00984e+3	7.74557e-6	2.40295e+4	6.03835e-6	4.00492e+4	5.75364e-6	5.60689e+4	5.65560e-6	7.20886e+4	5.60650e-6	8.81083e+4	5.57753e-6
7.75717e+3	7.83111e-6	2.32715e+4	6.08509e-6	3.87859e+4	5.79327e-6	5.43002e+4	5.69273e-6	6.98146e+4	5.64234e-6	8.53289e+4	5.61262e-6
7.51366e+3	7.91625e-6	2.25410e+4	6.13275e-6	3.75683e+4	5.83371e-6	5.25957e+4	5.73062e-6	6.76230e+4	5.67893e-6	8.26503e+4	5.64845e-6
7.27907e+3	8.00625e-6	2.18372e+4	6.18128e-6	3.63953e+4	5.87494e-6	5.09535e+4	5.76926e-6	6.55116e+4	5.71625e-6	8.00698e+4	5.68499e-6
7.05313e+3	8.09684e-6	2.11594e+4	6.23068e-6	3.52657e+4	5.91693e-6	4.93719e+4	5.80864e-6	6.34782e+4	5.75428e-6	7.75845e+4	5.72224e-6
6.83559e+3	8.18654e-6	2.05068e+4	6.28093e-6	3.41780e+4	5.95968e-6	4.78491e+4	5.84874e-6	6.15203e+4	5.79362e-6	7.51915e+4	5.76018e-6
6.62617e+3	8.27969e-6	1.98785e+4	6.33200e-6	3.31309e+4	6.00317e-6	4.63832e+4	5.88954e-6	5.96356e+4	5.83308e-6	7.28879e+4	5.79880e-6
6.42460e+3	8.37164e-6	1.92738e+4	6.38387e-6	3.21230e+4	6.04738e-6	4.49722e+4	5.93104e-6	5.78214e+4	5.87321e-6	7.06706e+4	5.83809e-6
6.23061e+3	8.46590e-6	1.86918e+4	6.43749e-6	3.11530e+4	6.09230e-6	4.36142e+4	5.97321e-6	5.60754e+4	5.91400e-6	6.85367e+4	5.87859e-6
6.04391e+3	8.56260e-6	1.81317e+4	6.49097e-6	3.02195e+4	6.13790e-6	4.23074e+4	6.01604e-6	5.43952e+4	5.95544e-6	6.64830e+4	5.91919e-6
5.86424e+3	8.65905e-6	1.75927e+4	6.54519e-6	2.93212e+4	6.18418e-6	4.10497e+4	6.05952e-6	5.27782e+4	5.99751e-6	6.45066e+4	5.96042e-6
5.69134e+3	8.75653e-6	1.70740e+4	6.60013e-6	2.84567e+4	6.23112e-6	3.98393e+4	6.10364e-6	5.12220e+4	6.04021e-6	6.26047e+4	6.00226e-6
5.52493e+3	8.85498e-6	1.65748e+4	6.65579e-6	2.76247e+4	6.27871e-6	3.86745e+4	6.14837e-6	4.97244e+4	6.08351e-6	6.07742e+4	6.04470e-6
5.36477e+3	8.95438e-6	1.60943e+4	6.71214e-6	2.68239e+4	6.32692e-6	3.75534e+4	6.19372e-6	4.82830e+4	6.12741e-6	5.90125e+4	6.08773e-6
5.21061e+3	9.05471e-6	1.56318e+4	6.76917e-6	2.60531e+4	6.37576e-6	3.64743e+4	6.23965e-6	4.68955e+4	6.17189e-6	5.73167e+4	6.13133e-6
