"Harmonic Energy (eV)"	"Harmonic: 1: spatial_profile-9.json"	"Harmonic Energy (eV)"	"Harmonic: 3: spatial_profile-9.json"	"Harmonic Energy (eV)"	"Harmonic: 5: spatial_profile-9.json"	"Harmonic Energy (eV)"	"Harmonic: 7: spatial_profile-9.json"	"Harmonic Energy (eV)"	"Harmonic: 9: spatial_profile-9.json"	"Harmonic Energy (eV)"	"Harmonic: 11: spatial_profile-9.json"
1.86203e+4	6.21146e-6	5.58608e+4	5.52901e-6	9.31014e+4	5.43723e-6	1.30342e+5	5.40225e-6	1.67582e+5	5.38380e-6	2.04823e+5	5.37240e-6
1.85214e+4	6.21983e-6	5.55643e+4	5.53456e-6	9.26072e+4	5.44238e-6	1.29650e+5	5.40725e-6	1.66693e+5	5.38872e-6	2.03736e+5	5.37727e-6
1.84120e+4	6.23010e-6	5.52359e+4	5.54078e-6	9.20598e+4	5.44815e-6	1.28884e+5	5.41285e-6	1.65708e+5	5.39423e-6	2.02532e+5	5.38273e-6
1.82922e+4	6.23956e-6	5.48767e+4	5.54765e-6	9.14611e+4	5.45454e-6	1.28046e+5	5.41904e-6	1.64630e+5	5.40032e-6	2.01214e+5	5.38876e-6
1.81627e+4	6.25182e-6	5.44880e+4	5.55518e-6	9.08133e+4	5.46153e-6	1.27139e+5	5.42583e-6	1.63464e+5	5.40700e-6	1.99789e+5	5.39537e-6
1.80237e+4	6.26322e-6	5.40712e+4	5.56336e-6	9.01187e+4	5.46913e-6	1.26166e+5	5.43320e-6	1.62214e+5	5.41426e-6	1.98261e+5	5.40255e-6
1.78759e+4	6.27652e-6	5.36277e+4	5.57219e-6	8.93795e+4	5.47733e-6	1.25131e+5	5.44117e-6	1.60883e+5	5.42209e-6	1.96635e+5	5.41031e-6
1.77196e+4	6.29173e-6	5.31589e+4	5.58228e-6	8.85982e+4	5.48614e-6	1.24038e+5	5.44971e-6	1.59477e+5	5.43050e-6	1.94916e+5	5.41863e-6
1.75555e+4	6.30600e-6	5.26664e+4	5.59242e-6	8.77774e+4	5.49554e-6	1.22888e+5	5.45884e-6	1.57999e+5	5.43948e-6	1.93110e+5	5.42752e-6
1.73839e+4	6.32316e-6	5.21517e+4	5.60319e-6	8.69195e+4	5.50555e-6	1.21687e+5	5.46855e-6	1.56455e+5	5.44904e-6	1.91223e+5	5.43698e-6
1.72054e+4	6.34029e-6	5.16163e+4	5.61461e-6	8.60272e+4	5.51614e-6	1.20438e+5	5.47884e-6	1.54849e+5	5.45916e-6	1.89260e+5	5.44700e-6
1.70206e+4	6.35837e-6	5.10618e+4	5.62665e-6	8.51031e+4	5.52733e-6	1.19144e+5	5.48969e-6	1.53186e+5	5.46984e-6	1.87227e+5	5.45758e-6
1.68300e+4	6.37737e-6	5.04899e+4	5.63933e-6	8.41498e+4	5.53910e-6	1.17810e+5	5.50112e-6	1.51470e+5	5.48109e-6	1.85130e+5	5.46871e-6
1.66340e+4	6.39730e-6	4.99020e+4	5.65264e-6	8.31699e+4	5.55145e-6	1.16438e+5	5.51311e-6	1.49706e+5	5.49289e-6	1.82974e+5	5.48039e-6
1.64332e+4	6.41814e-6	4.92997e+4	5.66656e-6	8.21661e+4	5.56438e-6	1.15033e+5	5.52567e-6	1.47899e+5	5.50524e-6	1.80765e+5	5.49262e-6
1.62282e+4	6.43989e-6	4.86845e+4	5.68110e-6	8.11408e+4	5.57789e-6	1.13597e+5	5.53878e-6	1.46053e+5	5.51815e-6	1.78510e+5	5.50540e-6
1.60193e+4	6.46253e-6	4.80580e+4	5.69625e-6	8.00966e+4	5.59196e-6	1.12135e+5	5.55245e-6	1.44174e+5	5.53160e-6	1.76212e+5	5.51872e-6
1.58072e+4	6.48606e-6	4.74215e+4	5.71201e-6	7.90358e+4	5.60661e-6	1.10650e+5	5.56667e-6	1.42264e+5	5.54559e-6	1.73879e+5	5.53257e-6
