"Harmonic Energy (eV)"	"Harmonic: 1: spatial_profile-8.json"	"Harmonic Energy (eV)"	"Harmonic: 3: spatial_profile-8.json"	"Harmonic Energy (eV)"	"Harmonic: 5: spatial_profile-8.json"	"Harmonic Energy (eV)"	"Harmonic: 7: spatial_profile-8.json"	"Harmonic Energy (eV)"	"Harmonic: 9: spatial_profile-8.json"	"Harmonic Energy (eV)"	"Harmonic: 11: spatial_profile-8.json"
1.27211e+4	5.16997e-6	3.81633e+4	3.18906e-6	6.36056e+4	2.61886e-6	8.90478e+4	2.33219e-6	1.14490e+5	2.15653e-6	1.39932e+5	2.03687e-6
1.25056e+4	5.21120e-6	3.75168e+4	3.21135e-6	6.25281e+4	2.63515e-6	8.75393e+4	2.34526e-6	1.12551e+5	2.16753e-6	1.37562e+5	2.04640e-6
1.22921e+4	5.25314e-6	3.68763e+4	3.23405e-6	6.14604e+4	2.65175e-6	8.60446e+4	2.35859e-6	1.10629e+5	2.17875e-6	1.35213e+5	2.05613e-6
1.20807e+4	5.29578e-6	3.62421e+4	3.25715e-6	6.04035e+4	2.66866e-6	8.45649e+4	2.37217e-6	1.08726e+5	2.19019e-6	1.32888e+5	2.06604e-6
1.18716e+4	5.33910e-6	3.56148e+4	3.28063e-6	5.93580e+4	2.68587e-6	8.31012e+4	2.38601e-6	1.06844e+5	2.20184e-6	1.30588e+5	2.07615e-6
1.16649e+4	5.38308e-6	3.49948e+4	3.30450e-6	5.83247e+4	2.70337e-6	8.16545e+4	2.40008e-6	1.04984e+5	2.21371e-6	1.28314e+5	2.08645e-6
1.14608e+4	5.42770e-6	3.43824e+4	3.32875e-6	5.73040e+4	2.72115e-6	8.02256e+4	2.41440e-6	1.03147e+5	2.22578e-6	1.26069e+5	2.09694e-6
1.12593e+4	5.47296e-6	3.37780e+4	3.35336e-6	5.62967e+4	2.73922e-6	7.88153e+4	2.42895e-6	1.01334e+5	2.23806e-6	1.23853e+5	2.10760e-6
1.10606e+4	5.51883e-6	3.31818e+4	3.37832e-6	5.53030e+4	2.75757e-6	7.74242e+4	2.44373e-6	9.95454e+4	2.25054e-6	1.21667e+5	2.11845e-6
1.08647e+4	5.56530e-6	3.25941e+4	3.40364e-6	5.43235e+4	2.77618e-6	7.60529e+4	2.45874e-6	9.77823e+4	2.26322e-6	1.19512e+5	2.12947e-6
1.06717e+4	5.61236e-6	3.20151e+4	3.42930e-6	5.33584e+4	2.79507e-6	7.47018e+4	2.47397e-6	9.60452e+4	2.27609e-6	1.17389e+5	2.14067e-6
1.04816e+4	5.65998e-6	3.14449e+4	3.45529e-6	5.24082e+4	2.81421e-6	7.33714e+4	2.48942e-6	9.43347e+4	2.28916e-6	1.15298e+5	2.15204e-6
1.02946e+4	5.70816e-6	3.08837e+4	3.48161e-6	5.14729e+4	2.83361e-6	7.20620e+4	2.50509e-6	9.26511e+4	2.30242e-6	1.13240e+5	2.16358e-6
1.01105e+4	5.75689e-6	3.03316e+4	3.50825e-6	5.05527e+4	2.85325e-6	7.07738e+4	2.52097e-6	9.09949e+4	2.31586e-6	1.11216e+5	2.17528e-6
9.92959e+3	5.80614e-6	2.97888e+4	3.53521e-6	4.96479e+4	2.87314e-6	6.95071e+4	2.53705e-6	8.93663e+4	2.32948e-6	1.09225e+5	2.18715e-6
9.75172e+3	5.85591e-6	2.92552e+4	3.56246e-6	4.87586e+4	2.89327e-6	6.82620e+4	2.55334e-6	8.77655e+4	2.34328e-6	1.07269e+5	2.19918e-6
9.57695e+3	5.90618e-6	2.87308e+4	3.59002e-6	4.78847e+4	2.91364e-6	6.70386e+4	2.56983e-6	8.61925e+4	2.35726e-6	1.05346e+5	2.21137e-6
9.40528e+3	5.95694e-6	2.82158e+4	3.61787e-6	4.70264e+4	2.93423e-6	6.58370e+4	2.58651e-6	8.46475e+4	2.37141e-6	1.03458e+5	2.22371e-6
9.23672e+3	6.00818e-6	2.77102e+4	3.64600e-6	4.61836e+4	2.95505e-6	6.46570e+4	2.60339e-6	8.31305e+4	2.38572e-6	1.01604e+5	2.23621e-6
9.07126e+3	6.05988e-6	2.72138e+4	3.67441e-6	4.53563e+4	2.97609e-6	6.34988e+4	2.62045e-6	8.16413e+4	2.40021e-6	9.97838e+4	2.24885e-6
