Photon Energy 1,s4_hor_div 1,s4_std_hor_div 1,Photon Energy 3,s4_hor_div 3,s4_std_hor_div 3,Photon Energy 5,s4_hor_div 5,s4_std_hor_div 5,Photon Energy 7,s4_hor_div 7,s4_std_hor_div 7,Photon Energy 9,s4_hor_div 9,s4_std_hor_div 9,Photon Energy 11,s4_hor_div 11,s4_std_hor_div 11
11407.588695224445,7.0039158684288786e-06,1.3183430947350488e-08,34222.766085673335,6.072999194643956e-06,1.3312263023446722e-08,57037.94347612223,5.946261200645486e-06,1.3008875001160328e-08,79853.12086657112,5.899404959059129e-06,1.0733207378507886e-08,102668.29825702001,5.875483567378191e-06,1.2647199086535767e-08,125483.47564746889,5.857204446371988e-06,1.2617821416341008e-08
13746.839030392715,6.628313055242948e-06,1.3708709156372526e-08,41240.517091178146,5.817197744391909e-06,1.2519722311621815e-08,68734.19515196358,5.7095965349257366e-06,1.1995618570706412e-08,96227.873212749,5.665979577495401e-06,8.84066963412992e-09,123721.55127353444,5.641528748286763e-06,1.2088353460291035e-08,151215.22933431985,5.631306135644617e-06,1.0186511651962563e-08
16086.089365560983,6.353435679933894e-06,1.3119753599865797e-08,48258.26809668295,5.63164648066284e-06,1.1407548217271722e-08,80430.44682780493,5.535690271793802e-06,1.3204618950613677e-08,112602.62555892688,5.4957725691140774e-06,1.2274770875831725e-08,144774.80429004887,5.476592007856438e-06,1.1197219273189579e-08,176946.98302117083,5.465357166628409e-06,1.3234871828432449e-08
