Photon Energy 1,s4_ver_div 1,s4_std_ver_div 1,Photon Energy 3,s4_ver_div 3,s4_std_ver_div 3,Photon Energy 5,s4_ver_div 5,s4_std_ver_div 5,Photon Energy 7,s4_ver_div 7,s4_std_ver_div 7,Photon Energy 9,s4_ver_div 9,s4_std_ver_div 9,Photon Energy 11,s4_ver_div 11,s4_std_ver_div 11
11407.588695224445,5.642143405678373e-06,1.4222142749692391e-08,34222.766085673335,4.439401357308637e-06,9.345131416940855e-09,57037.94347612223,4.2608151223689484e-06,8.89879529690497e-09,79853.12086657112,4.1942491522379705e-06,8.246336154750265e-09,102668.29825702001,4.1566940017562066e-06,9.609701237582295e-09,125483.47564746889,4.133432752576665e-06,8.66950760901122e-09
13746.839030392715,5.173750754060957e-06,1.2986811756883148e-08,41240.517091178146,4.081871194953704e-06,8.411029756496636e-09,68734.19515196358,3.9234775408688695e-06,8.484802311162138e-09,96227.873212749,3.861003405730631e-06,9.060799437173334e-09,123721.55127353444,3.829168734827076e-06,1.0299183409494097e-08,151215.22933431985,3.808954327714592e-06,8.211286409304032e-09
16086.089365560983,4.809939492203324e-06,1.1118264112760855e-08,48258.26809668295,3.809723884410857e-06,9.755588954633118e-09,80430.44682780493,3.665506736056444e-06,9.454946294258793e-09,112602.62555892688,3.6099583902234234e-06,6.413871324845182e-09,144774.80429004887,3.5797973486180636e-06,6.9326509658635006e-09,176946.98302117083,3.5587953941115684e-06,7.878342154743191e-09
