Photon Energy 0,ver_div 0,Photon Energy 1,ver_div 1,Photon Energy 3,ver_div 3,Photon Energy 5,ver_div 5,Photon Energy 7,ver_div 7,Photon Energy 9,ver_div 9,Photon Energy 11,ver_div 11
9068.338360056176,5.871101926316507e-06,9068.338360056176,6.290413537729798e-06,27205.015080168527,4.928602023802177e-06,45341.69180028088,4.728847069266315e-06,63478.368520393225,4.6511620742596485e-06,81615.04524050558,4.609822534171715e-06,99751.72196061793,4.58415442630751e-06
13063.332465264404,4.950407206273588e-06,9263.275887986865,6.22706885711009e-06,27789.827663960594,4.880544846382228e-06,46316.379439934324,4.683074994421218e-06,64842.93121590805,4.606282665858259e-06,83369.48299188178,4.56541912509181e-06,101896.03476785551,4.540046920486513e-06
17058.326570472633,4.382916927810144e-06,9458.213415917553,6.1657242275169e-06,28374.64024775266,4.834020021076201e-06,47291.067079587774,4.6387655956889116e-06,66207.49391142288,4.562838732786452e-06,85123.92074325799,4.522436691095467e-06,104040.3475750931,4.497351377163179e-06
21053.32067568086,3.990426333408957e-06,9653.150943848243,6.1062777903854224e-06,28959.452831544728,4.788949300234512e-06,48265.75471924122,4.595844135907255e-06,67572.0566069377,4.520756907669257e-06,86878.35849463419,4.480802594852007e-06,106184.66038233067,4.455995612704288e-06
25048.31478088909,3.6993740611189365e-06,9848.088471778932,6.04863479019953e-06,29544.265415336795,4.745259898661674e-06,49240.44235889467,4.5542410966514585e-06,68936.61930245253,4.479968946792112e-06,88632.79624601039,4.440449272024e-06,108328.97318956825,4.415912484983875e-06
29043.30888609732,3.4731770181703285e-06,10043.025999709622,5.992706950476169e-06,30129.077999128865,4.702884013452041e-06,50215.12999854811,4.51389171943022e-06,70301.18199796735,4.440411279629019e-06,90387.23399738659,4.40131378523537e-06,110473.28599680583,4.377039450110361e-06
33038.30299130555,3.291339028129218e-06,10237.96352764031,5.938411915452332e-06,30713.890582920933,4.6617583944003455e-06,51189.81763820155,4.474735595210921e-06,71665.74469348216,4.402024605823826e-06,92141.6717487628,4.3633374250259064e-06,112617.5988040434,4.339318165850055e-06
37033.29709651378,3.1413772182035516e-06,10432.901055571,5.885672749453679e-06,31298.703166713,4.62182395881135e-06,52164.505277855,4.436716296372099e-06,73030.307388997,4.36475353382969e-06,93896.10950013899,4.326465352054088e-06,114761.91161128099,4.3026941360443085e-06
41028.29120172201,3.0152032356633987e-06,10627.838583501689,5.8344174870327785e-06,31883.515750505067,4.583025445386885e-06,53139.192917508444,4.3997810459975045e-06,74394.87008451181,4.328546256213067e-06,95650.5472515152,4.290646275603686e-06,116906.22441851857,4.267116391106256e-06
45023.28530693024,2.9073190306399324e-06,10822.776111432378,5.784578727903263e-06,32468.328334297134,4.545311102591129e-06,54113.880557161894,4.363880420116619e-06,75759.43278002663,4.293354257306703e-06,97404.98500289141,4.255832164120986e-06,119050.53722575615,4.2325372003503455e-06
49018.279412138465,2.8138418131265243e-06,11017.713639363066,5.7360932714927486e-06,33053.1409180892,4.5086324075083424e-06,55088.56819681534,4.328968079082697e-06,77123.99547554147,4.2591320494716475e-06,99159.42275426761,4.221977984079421e-06,121194.85003299374,4.198911812474268e-06
53013.27351734669,2.7319426417772786e-06,11212.651167293756,5.688901786615618e-06,33637.95350188127,4.472943811729559e-06,56063.25583646879,4.29500052477852e-06,78488.55817105628,4.2258369347184345e-06,100913.86050564381,4.189041463953683e-06,123339.1628402313,4.1661982209952365e-06
57008.26762255492,2.6595061804655853e-06,11407.588695224445,5.6429485123460795e-06,34222.766085673335,4.438202511250819e-06,57037.94347612223,4.261936880766358e-06,79853.12086657112,4.193428788856136e-06,102668.29825702001,4.156982880499878e-06,125483.47564746889,4.134356951854434e-06
61003.26172776315,2.594915575923281e-06,11602.526223155135,5.598180986668079e-06,34807.5786694654,4.404368237747534e-06,58012.63111577567,4.229738692863723e-06,81217.68356208593,4.161869865696539e-06,104422.73600839621,4.125764864893251e-06,127627.78845470648,4.103350870756293e-06
64998.25583297138,2.5369115143905744e-06,11797.463751085823,5.554549799904851e-06,35392.39125325747,4.371403068917801e-06,58987.31875542912,4.198369747940122e-06,82582.24625760075,4.131124619148549e-06,106177.17375977241,4.095352226579922e-06,129772.10126194404,4.073145008112267e-06
68993.24993817961,2.484497030241761e-06,11992.401279016512,5.512008370297925e-06,35977.203837049536,4.339271255869992e-06,59962.006395082564,4.167795909000091e-06,83946.80895311559,4.101159541303222e-06,107931.61151114861,4.065711792961654e-06,131916.41406918163,4.043706399719717e-06
72988.24404338784,2.4368715056660307e-06,12187.338806947202,5.4705127394223096e-06,36562.0164208416,4.307939065774046e-06,60936.694034736014,4.137984964850942e-06,85311.3716486304,4.071943014838643e-06,109686.04926252482,4.036812263259373e-06,134060.7268764192,4.015003941531863e-06
76983.23814859607,2.3933838498367665e-06,12382.27633487789,5.430021385398938e-06,37146.82900463367,4.2773746382070145e-06,61911.38167438946,4.108906492855528e-06,86675.93434414524,4.043445178272201e-06,111440.48701390102,4.008624075097417e-06,136205.0396836568,3.987008257069758e-06
80978.2322538043,2.353498607565072e-06,12577.21386280858,5.3904950521034496e-06,37731.64158842574,4.247547853806738e-06,62886.06931404291,4.080531733445446e-06,88040.49703966005,4.015637802759636e-06,113194.92476527722,3.981119282520744e-06,138349.35249089438,3.959691576196485e-06
84973.22635901252,2.316770984063101e-06,12772.15139073927,5.351896592777459e-06,38316.45417221781,4.218430214006873e-06,63860.75695369635,4.052833475222417e-06,89405.05973517487,3.988494179289906e-06,114949.36251665343,3.954271444305414e-06,140493.66529813193,3.93302762412093e-06
88968.22046422075,2.282828143525364e-06,12967.088918669959,5.314190826628863e-06,38901.26675600988,4.189994730765421e-06,64835.44459334979,4.025785949608324e-06,90769.6224306897,3.961989015255183e-06,116703.80026802962,3.9280555215517586e-06,142637.97810536955,3.906991519626765e-06
92963.21456942898,2.2513550027683196e-06,13162.026446600648,5.277344407165445e-06,39486.079339801945,4.1622158253203104e-06,65810.13223300324,3.999364734120401e-06,92134.18512620452,3.93609833948923e-06,118458.23801940584,3.9024477836623725e-06,144782.2909126071,3.881559681634358e-06
96958.20867463721,2.222083298335153e-06,13356.963974531336,5.241325701144025e-06,40070.89192359401,4.1350692351117845e-06,66784.81987265669,3.973546663449573e-06,93498.74782171936,3.910799414967065e-06,120212.67577078202,3.877425721905813e-06,146926.6037198447,3.8567097433014e-06
100953.20277984544,2.1947830728588263e-06,13551.901502462026,5.2061046771384695e-06,40655.70450738608,4.108531928104555e-06,67759.50751231013,3.948309747609003e-06,94863.31051723417,3.886070658446291e-06,121967.11352215824,3.852967969853437e-06,149070.91652708227,3.832420472954114e-06
104948.19688505367,2.169255973527489e-06,13746.839030392715,5.171652802836311e-06,41240.517091178146,4.082582023824654e-06,68734.19515196358,3.923633096498231e-06,96227.873212749,3.861891566407314e-06,123721.55127353444,3.829054230052987e-06,151215.22933431985,3.808671701216559e-06
