Photon Energy 1,s4_hor_size 1,s4_std_hor_size 1,Photon Energy 3,s4_hor_size 3,s4_std_hor_size 3,Photon Energy 5,s4_hor_size 5,s4_std_hor_size 5,Photon Energy 7,s4_hor_size 7,s4_std_hor_size 7,Photon Energy 9,s4_hor_size 9,s4_std_hor_size 9,Photon Energy 11,s4_hor_size 11,s4_std_hor_size 11
11407.588695224445,3.034826905130709e-05,5.22343867290562e-08,34222.766085673335,3.02394265929049e-05,7.263335275692383e-08,57037.94347612223,3.022089810238634e-05,8.356620029492658e-08,79853.12086657112,3.020695615928196e-05,6.994980811761406e-08,102668.29825702001,3.020674757822632e-05,6.899304882262683e-08,125483.47564746889,3.0201118360476626e-05,6.257939762925817e-08
13746.839030392715,3.031423003012408e-05,6.932090944308844e-08,41240.517091178146,3.0239144600121678e-05,7.173234490243082e-08,68734.19515196358,3.022245378897488e-05,6.418646120006666e-08,96227.873212749,3.0193810080143923e-05,6.601375748946187e-08,123721.55127353444,3.0206622067054743e-05,6.188211579435646e-08,151215.22933431985,3.0199046050264625e-05,6.731834405863503e-08
16086.089365560983,3.029896926338835e-05,5.8243379000046076e-08,48258.26809668295,3.0236501801174984e-05,6.111027763705766e-08,80430.44682780493,3.0201925375001267e-05,5.1541133899483356e-08,112602.62555892688,3.0199931919539262e-05,7.023781262110236e-08,144774.80429004887,3.0202172361197655e-05,7.04001064571147e-08,176946.98302117083,3.0223712800668826e-05,5.755011080120835e-08
