Photon Energy 1,s4_ver_size 1,s4_std_ver_size 1,Photon Energy 3,s4_ver_size 3,s4_std_ver_size 3,Photon Energy 5,s4_ver_size 5,s4_std_ver_size 5,Photon Energy 7,s4_ver_size 7,s4_std_ver_size 7,Photon Energy 9,s4_ver_size 9,s4_std_ver_size 9,Photon Energy 11,s4_ver_size 11,s4_std_ver_size 11
11407.588695224445,4.861335438806793e-06,1.058035655694819e-08,34222.766085673335,4.1068544767623805e-06,9.756169762148355e-09,57037.94347612223,3.9509409256329605e-06,8.455260992842107e-09,79853.12086657112,3.886675113215124e-06,9.169285147762834e-09,102668.29825702001,3.851651625580516e-06,9.016594862074544e-09,125483.47564746889,3.830417887288617e-06,8.543208492992143e-09
13746.839030392715,4.675258782186405e-06,9.700661621156784e-09,41240.517091178146,4.0319823558380495e-06,1.0225932329983416e-08,68734.19515196358,3.898876501439434e-06,9.139232056067838e-09,96227.873212749,3.845550443026087e-06,1.0026027324303761e-08,123721.55127353444,3.817314610945091e-06,8.127626945595506e-09,151215.22933431985,3.801215676572995e-06,7.902593425358286e-09
16086.089365560983,4.538863062977386e-06,1.0160261323826276e-08,48258.26809668295,3.9752533732881285e-06,8.705025550535747e-09,80430.44682780493,3.86347153932561e-06,8.596551632607685e-09,112602.62555892688,3.816917045989082e-06,8.324278232814018e-09,144774.80429004887,3.791000801789844e-06,8.128222440352726e-09,176946.98302117083,3.774937885774913e-06,8.86054311290744e-09
