Photon Energy 0,hor_div 0,Photon Energy 1,hor_div 1,Photon Energy 3,hor_div 3,Photon Energy 5,hor_div 5,Photon Energy 7,hor_div 7,Photon Energy 9,hor_div 9,Photon Energy 11,hor_div 11
96958.20867463721,4.70407725153829e-06,13356.963974531336,6.6829771591090225e-06,40070.89192359401,5.855722515870093e-06,66784.81987265669,5.742800857622631e-06,93498.74782171936,5.699564954258065e-06,120212.67577078202,5.676717258468737e-06,146926.6037198447,5.6625876282646565e-06
100953.20277984544,4.69124304855415e-06,13551.901502462026,6.655389884373646e-06,40655.70450738608,5.837013209506599e-06,67759.50751231013,5.725367976537776e-06,94863.31051723417,5.682625604959136e-06,121967.11352215824,5.660039821451481e-06,149070.91652708227,5.64607255401645e-06
104948.19688505367,4.6793546651632095e-06,13746.839030392715,6.628475037049221e-06,41240.517091178146,5.818776897678429e-06,68734.19515196358,5.708378515799062e-06,96227.873212749,5.666118166292329e-06,123721.55127353444,5.6437881693404e-06,151215.22933431985,5.62997946100586e-06
108943.1909902619,4.66831116027596e-06,13941.776558323403,6.6022076886374186e-06,41825.32967497021,5.800995609488989e-06,69708.88279161703,5.6918155529828555e-06,97592.43590826383,5.6500261254953685e-06,125475.98902491064,5.627946007796369e-06,153359.54214155744,5.614292190660931e-06
112938.18509547012,4.658025475853203e-06,14136.714086254093,6.576564151858775e-06,42410.14225876228,5.783652283757647e-06,70683.57043127046,5.675663025088485e-06,98956.99860377864,5.6343338095367814e-06,127230.42677628684,5.61249787170106e-06,155503.85494879502,5.598995407093849e-06
116933.17920067835,4.648422127549312e-06,14331.651614184782,6.551521903215206e-06,42994.95484255435,5.766730711621135e-06,71658.25807092391,5.659905674184309e-06,100321.56129929348,5.619026331955176e-06,128984.86452766304,5.597429072633363e-06,157648.1677560326,5.5840745449737495e-06
120928.17330588658,4.639435341825108e-06,14526.58914211547,6.527059511343316e-06,43579.767426346414,5.750215483460883e-06,72632.94571057736,5.644528997157386e-06,101686.1239948083,5.6040895437149925e-06,130739.30227903924,5.5827256503157345e-06,159792.48056327016,5.569515761340478e-06
124923.16741109481,4.631007541904904e-06,14721.526670046162,6.503156570655158e-06,44164.58001013848,5.734091939778169e-06,73607.63335023081,5.629519199207596e-06,103050.68669032311,5.589509987726982e-06,132493.74003041544,5.568374327682701e-06,161936.79337050777,5.555305891014039e-06
128918.16151630304,4.623088108624369e-06,14916.46419797685,6.479793639812812e-06,44749.39259393055,5.71834612567648e-06,74582.32098988425,5.614863150762756e-06,104415.24938583793,5.575274856716678e-06,134248.17778179166,5.554362469258375e-06,164081.10617774533,5.541432405288783e-06
132913.15562151125,4.615632359616936e-06,15111.401725907539,6.456952184627403e-06,45334.205177722615,5.7029647486438415e-06,75557.0086295377,5.600548347522925e-06,105779.81208135276,5.561371954155122e-06,136002.61553316785,5.5406780425604765e-06,166225.4189849829,5.5278833736318686e-06
136908.14972671948,4.608600703210501e-06,15306.339253838229,6.434614525012582e-06,45919.01776151468,5.687935139357575e-06,76531.69626919115,5.586562873370399e-06,107144.3747768676,5.547789657993831e-06,137757.05328454406,5.527309582275769e-06,168369.7317922205,5.514647428132723e-06
140903.1438319277,4.601957933097992e-06,15501.276781768916,6.4127637856577025e-06,46503.83034530675,5.673245215260435e-06,77506.38390884458,5.572895365907027e-06,108508.93747238241,5.534516886970612e-06,139511.49103592025,5.5142461569762036e-06,170514.04459945808,5.501713730474428e-06
144898.13793713594,4.595672637179456e-06,15696.214309699606,6.391383850117302e-06,47088.642929098816,5.658883446680765e-06,78481.07154849803,5.559534984403003e-06,109873.50016789723,5.521543069274902e-06,141265.92878729646,5.501477338166829e-06,172658.35740669566,5.4890719412196435e-06
148893.13204234416,4.589716699570251e-06,15891.151837630296,6.370459318041707e-06,47673.45551289088,5.644838825290479e-06,79455.75918815148,5.546471379961433e-06,111238.06286341205,5.5088581133810326e-06,143020.36653867265,5.488993171476078e-06,174802.67021393322,5.476712191222967e-06
152888.1261475524,4.584064879075588e-06,16086.089365560983,6.349975465298747e-06,48258.26809668295,5.631100834713673e-06,80430.44682780493,5.533694667720985e-06,112602.62555892688,5.49645238087545e-06,144774.80429004887,5.476784149816439e-06,176946.98302117083,5.4646250549990565e-06
156883.12025276062,4.578694450768719e-06,16281.026893491673,6.3299182067592044e-06,48843.08068047502,5.617659423115655e-06,81405.13446745838,5.521195400935096e-06,113967.18825444172,5.484316661119797e-06,146529.24204142508,5.464841188359263e-06,179091.2958284084,5.45280152589133e-06
160878.11435796885,4.573584899915007e-06,16475.964421422363,6.3102740615390045e-06,49427.893264267084,5.6045049776175514e-06,82379.82210711182,5.508964546780798e-06,115331.75094995653,5.472442147605979e-06,148283.67979280127,5.453155601181449e-06,181235.60863564597,5.441232992900069e-06
164873.10846317708,4.568717659531036e-06,16670.90194935305,6.291030120509411e-06,50012.70584805915,5.591628300395313e-06,83354.50974676525,5.496993463763236e-06,116696.31364547135,5.460820415872146e-06,150038.11754417745,5.441719079454484e-06,183379.92144288355,5.4299112190413086e-06
168868.1025683853,4.564075884486777e-06,16865.839477283742,6.272174015903016e-06,50597.51843185122,5.579020586334429e-06,84329.1973864187,5.4852738805937395e-06,118060.87634098617,5.449443402860049e-06,151792.55529555367,5.4305236710576575e-06,185524.23425012114,5.418828321119198e-06
172863.09667359354,4.559644256346737e-06,17060.77700521443,6.253693892858195e-06,51182.331015643285,5.566673402122776e-06,85303.88502607215,5.47379787642997e-06,119425.439036501,5.438303387604617e-06,153546.99304692989,5.4195617615075695e-06,187668.54705735872,5.407976750804766e-06
176858.09077880176,4.5554088141765586e-06,17255.714533145117,6.23557838275812e-06,51767.14359943535,5.554578666674135e-06,86278.5726657256,5.462557862376175e-06,120790.00173201584,5.427392973156015e-06,155301.43079830607,5.408826056105355e-06,189812.8598645963,5.39734927692319e-06
180853.08488401,4.5513568073706666e-06,17450.65206107581,6.217816578232612e-06,52351.95618322742,5.54272863278406e-06,87253.26030537905,5.451546564150311e-06,122154.56442753065,5.416705069642886e-06,157055.86854968226,5.398309563211374e-06,191957.1726718339,5.3869389688600255e-06
184848.07898921822,4.5474765672269924e-06,17645.589589006497,6.20039800970211e-06,52936.76876701949,5.531115869928002e-06,88227.9479450325,5.440757005832612e-06,123519.12712304547,5.406232878393195e-06,158810.30630105847,5.388005578564792e-06,194101.48547907145,5.376739181004384e-06
188843.07309442645,4.543757394539744e-06,17840.527116937184,6.183312623352981e-06,53521.58135081155,5.519733248119097e-06,89202.63558468594,5.430182494617271e-06,124883.68981856029,5.395969877036039e-06,160564.7440524347,5.377907670572266e-06,196245.79828630906,5.366743538153864e-06
192838.06719963468,4.540189460926087e-06,18035.464644867876,6.166550760442528e-06,54106.39393460362,5.508573922749823e-06,90177.32322433937,5.419816606495382e-06,126248.25251407512,5.3859098055140705e-06,162319.18180381088,5.368009666496252e-06,198390.1110935466,5.356945921812258e-06
196833.0613048429,4.536763721967526e-06,18230.402172798567,6.150103137840183e-06,54691.20651839569,5.4976313203478635e-06,91152.01086399282,5.409653172803099e-06,127612.81520958996,5.37604665294196e-06,164073.6195551871,5.35830563947909e-06,200534.4239007842,5.34734045731664e-06
200828.05541005114,4.533471840547371e-06,18425.33970072925,6.133960829718939e-06,55276.019102187754,5.486899125182159e-06,92126.69850364627,5.399686267574339e-06,128977.37790510477,5.36637464525149e-06,165828.0573065633,5.348789896344156e-06,202678.73670802178,5.3379215017355915e-06
204823.04951525936,4.530306119014321e-06,18620.277228659943,6.118115250317822e-06,55860.83168597983,5.476371266660189e-06,93101.38614329972,5.389910195642129e-06,130341.9406006196,5.35688823356862e-06,167582.4950579395,5.33945696612009e-06,204823.04951525936,5.3286836324849495e-06
